PLANT,Site,Site Code,VISIT_DATE,OBSERVER,ORGANIZATION,VISIT_STATUS_NUM,VISIT_STATUS_CHAR,SEARCH_SQFT,GROSS_SQFT,PLANT_COUNT,PERCENT_COVER,AGE_SIZE,DISTRIBUTION,PHENOLOGY,NATIVE,NON_NAT,iMap Searched Record,iMap Pres/Not Det,iMap Treat,WIND_SPEED,WIND_DIR,TEMP,PERCENT_TREATED,GROSS_TREAT_SQFT,ACTUAL_HERBICIDE_SQFT,PU_COUNT,PU_PERCENT,FO_COUNT,FO_PERCENT,CO_COUNT,CO_PERCENT,CS_COUNT,BB_COUNT,HS_COUNT,HERBICIDE_NAME,AI_CONCENTRATION,AMT_OF_MIX,MIX_UNITS,AMT_OF_PRODUCT,PRODUCT_UNITS,PHOTO_NAMES,Notes
,,ARNI_SPJA_001,2022-06-24T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,191957,,1850,,mature,dense plants/clumps,vegetative,medium,high,,,,3,E,82,,,,1850,,,,,,,,,,,,,,,,
,,ARNI_SPJA_001,2022-07-03T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,249535,167862,3399,76-100,mature,monoculture,flower,low,high,,,,,,,25-Oct,157622,,1549,,861,100,,,,,,,,,,,,,no herbicide was used here. plant count and pu count inconsistent with trip report
_VISI_,ATNY,ATNY_LYVU_001,2001-06-06T04:00:00Z,,,0,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_RHSC3_001,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,0,untreated,,1,2,76-100,seedling,,vegetative,,,,,,,,,0,NA,,,,,,,,,,,,,,,,,,
_ACPS_,ATNY,ATNY_RHSC3_001,2020-10-19T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,3,no plants 1st year,,0,,,,,,low,high,,,,,,,,,,,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_RHSC3_002,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,0,untreated,,3000,30,<5,sapling,,vegetative,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_SAGL12_001,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,2600,,25-May,adult non-reproducing,,vegetative,,,,,,,,,76-100,2600,750,,,,100,,,,,,Accord XRT II,1,0.75,gal,0.9,oz,,
_CYSC4_,ATNY,ATNY_SAGL12_001,2019-08-09T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,,162,,<5,mature,,immature fruit,,,,,,,,,76-100,162,162.12,,,,100,,,,,,Accord XRT II,5,0.48,gal,3.1,FL,,Duell Hollow Rd to Leather Hill Rd. to AT intersection make a right (East) and hike to the Wiley shelter.
_BETH_,ATNY,ATNY_SAGL12_001,2020-08-21T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,2,completely treated,,5,4,<5,seedling,trace,vegetative,medium,high,,,,,,,76-100,5,,,,4,,,,,,,Accord XRT II,1,0.01,gal,0.01,FL,,
_MISI_,ATNY,ATNY_SAGL12_001,2020-10-02T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,0,untreated,,207129,,<5,mature,sparse,mature fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_ACAR10_,ATNY,ATNY_SAGL12_001,2021-06-15T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,0,untreated,313000,753,11,<5,mature,trace,vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_POPE10_,ATNY,ATNY_SAGL12_001,2021-07-10T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,196891,1559,25,<5,sapling,sparse,vegetative,high,low,,,,,,,76-100,1538,,,,25,,,,,,,Rodeo,0.005,30.7,FL,1.5,FL,,"Coordinates were not accurate, searched area was expanded."
